Structure [idcode]	Molecule Name	Total Molweight	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Polar Surface Area	Mutagenic	Tumorigenic	Irritant	Non-H Atoms	Stereo Centers	Rotatable Bonds	Smiles	InChI	InChI-Key	
edZ\DDHAKBmD`HbRHJgHhhdlmMEDiYhhhddlqpEE\C}C@PUMUSUP@@@PHFSI@@	1ta2	497.444	1.1778	-5.646	5	2	367.65	77.05	none	high	none	34	2	7	[NH3+][C@H](C(c1ccccc1)c1ccccc1)C(N(CCC1)[C@@H]1C(NCc(cc(cc1)Cl)c1Cl)=O)=O	InChI=1S/C27H27Cl2N3O2/c28-21-13-14-22(29)20(16-21)17-31-26(33)23-12-7-15-32(23)27(34)25(30)24(18-8-3-1-4-9-18)19-10-5-2-6-11-19/h1-6,8-11,13-14,16,23-25H,7,12,15,17,30H2,(H,31,33)/p+1/t23-,25+/m0/s1	VTUWWZYFAXSACB-UKILVPOCSA-O	
fbe`HDM@PQQoQrcdfyVUof~BZfjjjfjcErBdeY@@	1n1t	290.247	-5.4933	-0.305	9	5	203.12	159.38	none	none	none	20	5	5	CC(N[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)OC(C([O-])=O)=C1)[C@H]1O)=O	InChI=1S/C11H17NO8/c1-4(14)12-8-5(15)2-7(11(18)19)20-10(8)9(17)6(16)3-13/h2,5-6,8-10,13,15-17H,3H2,1H3,(H,12,14)(H,18,19)/p-1/t5-,6-,8+,9-,10-/m1/s1	JINJZWSZQKHCIP-OTZKOZDPSA-M	
f`~`JANPQafcN|CpQvNMwnrRRjYQQFMTuSSPD`@	1q95	251.087	-12.181	0.806	9	1	172.12	182.36	none	none	none	16	1	6	[O-]C(C[C@@H](C([O-])=O)NC(CP([O-])([O-])=O)=O)=O	InChI=1S/C6H10NO8P/c8-4(2-16(13,14)15)7-3(6(11)12)1-5(9)10/h3H,1-2H2,(H,7,8)(H,9,10)(H,11,12)(H2,13,14,15)/p-4/t3-/m0/s1	ZZKNRXZVGOYGJT-VKHMYHEASA-J	
f`qq@@DLxCHhdhbeDeQcoMKUP@P@@	2v00	215.255	1.0328	-3.053	4	2	172.69	67.48	none	none	none	16	0	3	NC(NC(CCc1ccccc1)=C1)=NC1=O	InChI=1S/C12H13N3O/c13-12-14-10(8-11(16)15-12)7-6-9-4-2-1-3-5-9/h1-5,8H,6-7H2,(H3,13,14,15,16)	CNBSPUGFNQVSJS-UHFFFAOYSA-N	
fesprFJJ[HqZcf@HksYgvRIJIJISKIISRrjjffjjZfQaYP@	2c80	390.479	-4.3206	-2.02	9	3	308.8	191.4	none	none	none	26	2	15	CCCCCCSC[C@@H](C(NCC([O-])=O)=O)NC(CC[C@@H](C([O-])=O)[NH3+])=O	InChI=1S/C16H29N3O6S/c1-2-3-4-5-8-26-10-12(15(23)18-9-14(21)22)19-13(20)7-6-11(17)16(24)25/h11-12H,2-10,17H2,1H3,(H,18,23)(H,19,20)(H,21,22)(H,24,25)/p-1/t11-,12-/m0/s1	HXJDWCWJDCOHDG-RYUDHWBXSA-M	
eod\N@HDMN`EJfmkggnrJJJJIRIKI[PyIQRcaqIsHHijjAj`jFjfZhHpcBxSd@@	1a4k	428.420	-1.6591	-3.91	10	2	301.23	144.94	high	high	high	31	2	6	CC(Nc(cc1)ccc1N(C([C@@H]([C@@H]12)[C@H](CC3)CC[C@@]23NC(OCC([O-])=O)=O)=O)C1=O)=O	InChI=1S/C21H23N3O7/c1-11(25)22-13-2-4-14(5-3-13)24-18(28)16-12-6-8-21(9-7-12,17(16)19(24)29)23-20(30)31-10-15(26)27/h2-5,12,16-17H,6-10H2,1H3,(H,22,25)(H,23,30)(H,26,27)/p-1/t12?,16-,17-,21?/m0/s1	WBCOLMYVEBTZOA-MCRKMXMZSA-M	
eg`\BH@AEAiGNk`LSHhdieEhheeDkMDePqEd]]@ASUMUUMUQR@Rb`@	3cj5	480.401	3.2871	-3.423	7	1	333.56	78.95	none	low	high	30	2	5	C[C@H](C[C@H](C)C1)CN1C(c(cc(cc1)Br)c1NC(CCC(N1CCOCC1)=O)=O)=O	InChI=1S/C22H30BrN3O4/c1-15-11-16(2)14-26(13-15)22(29)18-12-17(23)3-4-19(18)24-20(27)5-6-21(28)25-7-9-30-10-8-25/h3-4,12,15-16H,5-11,13-14H2,1-2H3,(H,24,27)/t15-,16-/m0/s1	DELARNBPJXTDBD-HOTGVXAUSA-N	
f`aAJBHHpSbcN|CpqqNrRSEQJJ[ZluUUUUTYARTuKP@	3bxg	258.118	-8.3598	1.831	9	4	160.49	172.38	none	none	none	16	5	3	[O-]P([O-])(OC[C@H]([C@H]([C@@H]([C@H]1O)O)O)O[C@H]1O)=O	InChI=1S/C6H13O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-10H,1H2,(H2,11,12,13)/p-2/t2-,3-,4-,5+,6-/m1/s1	NBSCHQHZLSJFNQ-DGPNFKTASA-L	
fbuPJBCA`cANJ}dGacb]ddfJbTQbbvejJVjjjjYflL`iI@@	1njd	306.166	-7.4301	0.59	10	2	200.46	161.1	low	none	none	20	3	4	[O-]P([O-])(OC[C@H]([C@H](C1)O)O[C@H]1N(C=CC(N1)=O)C1=O)=O	InChI=1S/C9H13N2O8P/c12-5-3-8(11-2-1-7(13)10-9(11)14)19-6(5)4-18-20(15,16)17/h1-2,5-6,8,12H,3-4H2,(H,10,13,14)(H2,15,16,17)/p-2/t5-,6+,8-/m0/s1	JSRLJPSBLDHEIO-BBVRLYRLSA-L	
fn}QrCJI`cFRuZCpQvNiJYKs^rRRjIJIIKIQQpVjj``bfXaR@@	1kel	344.259	-8.0394	-1.888	9	1	267.94	163.39	none	none	none	23	1	10	[O-]C(CCCC[N@H+](Cc(cc1)ccc1[N+]([O-])=O)CP([O-])([O-])=O)=O	InChI=1S/C13H19N2O7P/c16-13(17)3-1-2-8-14(10-23(20,21)22)9-11-4-6-12(7-5-11)15(18)19/h4-7H,1-3,8-10H2,(H,16,17)(H2,20,21,22)/p-2	RWVBLRUMXIXUAR-UHFFFAOYSA-L	
f`a@pB@Hxiwd]{dfyY}fEIijfiZQQBP@	1nf8	224.168	-4.6043	-1.045	6	1	165.87	109.72	low	low	none	16	2	4	C=C(C([O-])=O)O[C@H]([C@H]1O)C=CC=C1C([O-])=O	InChI=1S/C10H10O6/c1-5(9(12)13)16-7-4-2-3-6(8(7)11)10(14)15/h2-4,7-8,11H,1H2,(H,12,13)(H,14,15)/p-2/t7-,8+/m1/s1	NTGWPRCCOQCMGE-SFYZADRCSA-L	
dk^BBA@ftYrJJJZESaTzjjjjZHbrTaTp@	2cbu	190.218	-3.991	0.069	5	5	140.02	85.36	none	none	none	13	6	0	O[C@@H](CC1)[C@H]([C@H]([C@@H]2O)O)[N@@H+]1C[C@@H]2O	InChI=1S/C8H15NO4/c10-4-1-2-9-3-5(11)7(12)8(13)6(4)9/h4-8,10-13H,1-3H2/p+1/t4-,5-,6+,7+,8+/m0/s1	JDVVGAQPNNXQDW-TVNFTVLESA-O	
fle`SDNRUEHH`PPxHSvQQIYJPqQZTXxL@EKMRq@@@	1l2s	316.765	-0.1596	-3.708	5	1	209.7	122.92	none	none	none	19	0	3	[O-]C(c(scc1)c1S(Nc(cc1)ccc1Cl)(=O)=O)=O	InChI=1S/C11H8ClNO4S2/c12-7-1-3-8(4-2-7)13-19(16,17)9-5-6-18-10(9)11(14)15/h1-6,13H,(H,14,15)/p-1	YRWKEEDITQJPCZ-UHFFFAOYSA-M	
fco`PDD@]yOnrJIQIIYJJFKYQIRtVj}mPPQSUUP@DXl`rj@@	1d6v	380.462	2.0903	-4.537	5	2	300.42	89.46	none	none	none	28	3	7	[O-]C(CCCNC(c1ccc([C@@H](CC[C@@H](C2)c3ccccc3)[C@H]2O)cc1)=O)=O	InChI=1S/C23H27NO4/c25-21-15-19(16-5-2-1-3-6-16)12-13-20(21)17-8-10-18(11-9-17)23(28)24-14-4-7-22(26)27/h1-3,5-6,8-11,19-21,25H,4,7,12-15H2,(H,24,28)(H,26,27)/p-1/t19-,20-,21+/m1/s1	OBWILOKKNDYPLX-NJYVYQBISA-M	
fbuPJBCA`cANJ}dGacb]ddfJbTQbbvejJVjjjjYflL`iI@@	1jmi	306.166	-7.4301	0.59	10	2	200.46	161.1	low	none	none	20	3	4	[O-]P([O-])(OC[C@H]([C@H](C1)O)O[C@H]1N(C=CC(N1)=O)C1=O)=O	InChI=1S/C9H13N2O8P/c12-5-3-8(11-2-1-7(13)10-9(11)14)19-6(5)4-18-20(15,16)17/h1-2,5-6,8,12H,3-4H2,(H,10,13,14)(H2,15,16,17)/p-2/t5-,6+,8-/m0/s1	JSRLJPSBLDHEIO-BBVRLYRLSA-L	
efY\NH@LDbhDKNalRP@cIICEDdeEDXTmELdhmEdYE\CCbSRmTEAUEULDEEUAUDd\fr^dL@@	3bvb	547.671	2.237	-3.96	10	3	401.06	148.8	none	none	none	38	5	11	CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(O[C@@H]1[C@H](CCO2)[C@H]2OC1)=O)O)S(c(cc1)ccc1N)(=O)=O	InChI=1S/C27H37N3O7S/c1-18(2)15-30(38(33,34)21-10-8-20(28)9-11-21)16-24(31)23(14-19-6-4-3-5-7-19)29-27(32)37-25-17-36-26-22(25)12-13-35-26/h3-11,18,22-26,31H,12-17,28H2,1-2H3,(H,29,32)/t22-,23-,24+,25-,26-/m0/s1	CJBJHOAVZSMMDJ-BONDPLATSA-N	
fas@XB@HHIQoQKUoT]WdfyVU{fVwddyZfjjjjfjaLgIIZUdyIfX@	1y3n	350.231	-8.3801	0.086	12	5	223.52	209.1	none	none	none	24	8	4	[O-]C([C@H]([C@H]([C@@H]([C@@H]1O)O)O[C@@H]([C@H]2O)OC(C([O-])=O)=C[C@@H]2O)O[C@@H]1O)=O	InChI=1S/C12H16O12/c13-2-1-3(9(17)18)22-12(4(2)14)24-7-5(15)6(16)11(21)23-8(7)10(19)20/h1-2,4-8,11-16,21H,(H,17,18)(H,19,20)/p-2/t2-,4-,5-,6-,7+,8+,11-,12+/m1/s1	LLVVMXFNKAHVEZ-FYAZFRBJSA-L	
fnsirBI^cUlDXHIRP^FNIvRRXqQSSJIIEBtFIZmUUUTC@UAJQdxmH@	6rnt	345.207	-7.649	-0.745	12	3	223.65	201.54	none	none	none	23	4	4	Nc1c2ncn([C@@H]([C@@H]3OP([O-])([O-])=O)O[C@H](CO)[C@H]3O)c2ncn1	InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(22-23(18,19)20)6(17)4(1-16)21-10/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/p-2/t4-,6+,7+,10+/m0/s1	QDFHPFSBQFLLSW-HGOUYRHRSA-L	
dkLNA@PiWSScyInmYfjjYhr@@	2fwp	190.107	-6.2817	0.071	7	2	132.44	137.79	none	none	none	13	1	5	[O-]C(C[C@](CC(O)=O)(C([O-])=O)O)=O	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-2	KRKNYBCHXYNGOX-UHFFFAOYSA-L	
ej^\JDDAMH`fcd\PI@fPDgGlbbRrbTRRbbqbrbbVVbhXTt~a`@iZjZjj`hHZHPJdt@@	3cd0	515.555	0.7245	-3.586	8	4	380.48	128.76	none	none	none	37	2	12	CC(C)n1c(C(NCc(cc2)ccc2F)=O)[nH+]c(-c(cc2)ccc2F)c1CC[C@H](C[C@H](CC([O-])=O)O)O	InChI=1S/C27H31F2N3O5/c1-16(2)32-23(12-11-21(33)13-22(34)14-24(35)36)25(18-5-9-20(29)10-6-18)31-26(32)27(37)30-15-17-3-7-19(28)8-4-17/h3-10,16,21-22,33-34H,11-15H2,1-2H3,(H,30,37)(H,35,36)/t21-,22-/m1/s1	KNKKPGAQSAHIHV-FGZHOGPDSA-N	
f`aAJBHHpSbcN|CpqqNrRSEQJJ[RtuUUUUDYARRu@@	3bxh	258.118	-8.5121	1.962	9	4	159.66	172.38	none	none	none	16	4	4	[O-]P([O-])(OC[C@H]([C@H]([C@@H]1O)O)O[C@@]1(CO)O)=O	InChI=1S/C6H13O9P/c7-2-6(10)5(9)4(8)3(15-6)1-14-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/p-2/t3-,4-,5-,6-/m1/s1	BGWGXPAPYGQALX-KVTDHHQDSA-L	
fbePrACQ`cADyAxDxtqgOYIIehddmHkMVZjBBJib@H@	1dl7	304.238	-5.8986	-0.383	8	0	218.41	114.22	none	none	none	20	1	7	C[N+](C)(C)CCO[P@]([O-])(Oc(cc1)ccc1[N+]([O-])=O)=O	InChI=1S/C11H17N2O6P/c1-13(2,3)8-9-18-20(16,17)19-11-6-4-10(5-7-11)12(14)15/h4-7H,8-9H2,1-3H3	NAIXASFEPQPICN-UHFFFAOYSA-N	
ebZTF@@DO`KFcgd\bbTTVRTRJbbfrbbbrNcepKTpPTUUUTuMUDpEHdeAe]@X`QSP	2vw5	502.649	5.295	-5.097	8	4	400.96	131.11	none	none	none	36	6	3	C[C@@H](C[C@@H]([C@@H]([C@@H](C)/C=C(\C)/[C@@H]([C@@H](C)CC/C=C(\C)/C(N1)=O)OC(N)=O)O)OC)Cc2cc1cc(O)c2	InChI=1S/C28H42N2O6/c1-16-10-21-13-22(15-23(31)14-21)30-27(33)18(3)9-7-8-17(2)26(36-28(29)34)20(5)12-19(4)25(32)24(11-16)35-6/h9,12-17,19,24-26,31-32H,7-8,10-11H2,1-6H3,(H2,29,34)(H,30,33)/t16-,17+,19-,24+,25+,26-/m1/s1	RMHMHRXSAMJROO-LWAXCMKOSA-N	
f`~Q`BBZ@bRNuNQSQJJVZIjjfjkFHjFP@	2tpi	230.307	-1.6248	-1.681	5	2	188.52	96.87	none	none	none	16	3	6	CC[C@H](C)[C@@H](C(N[C@@H](C(C)C)C([O-])=O)=O)[NH3+]	InChI=1S/C11H22N2O3/c1-5-7(4)8(12)10(14)13-9(6(2)3)11(15)16/h6-9H,5,12H2,1-4H3,(H,13,14)(H,15,16)/t7-,8-,9-/m0/s1	BCXBIONYYJCSDF-CIUDSAMLSA-N	
fcHbDNBumqPRFyrJIKJIPjZIJ[QITXhvZkw@ATsL@QUTQ@@@	2bal	381.430	1.6504	-4.933	6	2	285.14	86.75	none	none	none	28	0	5	Nc(n(-c(cc1)ccc1F)nc1)c1C(c1cc(OC2CC[NH2+]CC2)ccc1)=O	InChI=1S/C21H21FN4O2/c22-15-4-6-16(7-5-15)26-21(23)19(13-25-26)20(27)14-2-1-3-18(12-14)28-17-8-10-24-11-9-17/h1-7,12-13,17,24H,8-11,23H2/p+1	QKZZJXRGCHXIAI-UHFFFAOYSA-O	
ejY^H@HDGLbjgdPGiRYYeU{U[eUom]RpsrZ{Y{Dej@@@bjB`jHH@B@@@	1xbb	494.621	1.8286	-4.383	8	3	403.95	87.48	none	none	none	37	0	7	Cc(ccc(NC(c1ccc(CN2CC[NH+](C)CC2)cc1)=O)c1)c1Nc1nc(-c2cnccc2)ccn1	InChI=1S/C29H31N7O/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34)/p+1	KTUFNOKKBVMGRW-UHFFFAOYSA-O	
ej^PA@@@DIE@a`\\bbTTTfbVbRTRVTUQfVbZrf~aZjjhJhJjJjZjbTpQBhVb|dRjSR^TL`^`	1w96	520.660	3.5393	-3.983	8	2	404.72	103.68	none	none	none	37	10	4	C[C@@H]([C@@H]([C@H]1OC)O)[C@H]([C@@H](C)/C=C/[C@H]([C@H](CCCC[C@@H](c2ccccc2)OC([C@H]2C)=O)OC)OC)O[C@]12O	InChI=1S/C29H44O8/c1-18-16-17-24(34-5)23(33-4)15-11-10-14-22(21-12-8-7-9-13-21)36-28(31)20(3)29(32)27(35-6)25(30)19(2)26(18)37-29/h7-9,12-13,16-20,22-27,30,32H,10-11,14-15H2,1-6H3/t18-,19+,20+,22-,23-,24-,25+,26-,27+,29+/m0/s1	WPMGNXPRKGXGBO-XMPZNJGWSA-N	
fakhJBCASUlDXIqUn`|L\SlddqTRbrfbRtTmQRVkUUUUTkTuDYARRt`@	2fxv	361.206	-8.4657	-0.138	13	4	230.21	217.22	none	none	none	24	4	4	NC(NC1=O)=Nc2c1ncn2[C@@H]([C@@H]1O)O[C@H](COP([O-])([O-])=O)[C@H]1O	InChI=1S/C10H14N5O8P/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(23-9)1-22-24(19,20)21/h2-3,5-6,9,16-17H,1H2,(H2,19,20,21)(H3,11,13,14,18)/p-2/t3-,5-,6+,9+/m1/s1	RQFCJASXJCIDSX-ICKFSKTQSA-L	
fby@`D@HQrSZjjjjkUUUUUT@@	1hmt	283.474	4.8953	-4.779	2	0	271.2	40.13	none	none	none	20	0	16	CCCCCCCCCCCCCCCCCC([O-])=O	InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)/p-1	QIQXTHQIDYTFRH-UHFFFAOYSA-M	
fbyprFL\BpSoIr@H}pYsvQJIQSYIQRrjfZjZfPaVP@	1oe8	306.318	-6.8516	-0.99	9	3	226.11	204.9	none	none	none	20	2	9	[NH3+][C@@H](CCC(N[C@@H](CS)C(NCC([O-])=O)=O)=O)C([O-])=O	InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/p-1/t5-,6-/m0/s1	RWSXRVCMGQZWBV-WDSKDSINSA-M	
eeSZNHDLOMaYXDGBjfe`@bkaYrRPjJJJJIQjKPjHqQIIXjFQHtdlkTEDSQSUSUAPQLPaPlh@@	1k1n	601.723	-0.1531	-3.252	12	4	434.54	204.93	high	none	none	42	2	11	Cc1cc(OC)c(C)c(C)c1S(N[C@@H](CC([O-])=O)C(N[C@H](Cc(cc1)ccc1C(N)=[NH2+])C(N1CCCCC1)=O)=O)(=O)=O	InChI=1S/C29H39N5O7S/c1-17-14-24(41-4)18(2)19(3)26(17)42(39,40)33-22(16-25(35)36)28(37)32-23(29(38)34-12-6-5-7-13-34)15-20-8-10-21(11-9-20)27(30)31/h8-11,14,22-23,33H,5-7,12-13,15-16H2,1-4H3,(H3,30,31)(H,32,37)(H,35,36)/t22-,23+/m0/s1	ZOXOKTJHZSUHRJ-XZOQPEGZSA-N	
figH`BG^zLGN]v\dTTTRVefRRVTeYV`qKV`jBhZ`BX`@@	1o3p	336.394	1.3929	-4.267	6	3	239.6	112.58	none	none	none	25	0	4	NC(c(cc1)cc2c1nc(-c1cccc(OC3CCCC3)c1[O-])[nH]2)=[NH2+]	InChI=1S/C19H20N4O2/c20-18(21)11-8-9-14-15(10-11)23-19(22-14)13-6-3-7-16(17(13)24)25-12-4-1-2-5-12/h3,6-10,12,24H,1-2,4-5H2,(H3,20,21)(H,22,23)	WCFWDBPDMBXMTQ-UHFFFAOYSA-N	
fbearAOPQ`LTyAxX{tq{OIU^rjzsZluTDDTsD@H@	1aj7	301.190	-3.9285	-2.742	8	0	218.55	145.12	none	none	none	20	1	8	[O-]C(CCCC[P@]([O-])(Oc(cc1)ccc1[N+]([O-])=O)=O)=O	InChI=1S/C11H14NO7P/c13-11(14)3-1-2-8-20(17,18)19-10-6-4-9(5-7-10)12(15)16/h4-7H,1-3,8H2,(H,13,14)(H,17,18)/p-2	XVVZSEXTAACTPS-UHFFFAOYSA-L	
fncAh@@XDkSoQsUnRJJIQISFJF[TeDmUUUUUUURhIDHjKddcJrCBp@	2f5t	342.296	-4.4579	0.551	11	8	219.82	189.53	none	high	none	23	10	4	OC[C@H]([C@H]([C@@H]([C@H]1O)O)O)O[C@@H]1O[C@H]([C@@H](CO)O[C@H]([C@@H]1O)O)[C@@H]1O	InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5+,6-,7-,8-,9-,10-,11+,12-/m1/s1	GUBGYTABKSRVRQ-CTSVHFHYSA-N	
defHbFp@airQQERTuU@@	2ha5	162.276	-3.1446	0.401	2	0	131.18	42.37	none	none	none	10	0	4	CC(SCC[N+](C)(C)C)=O	InChI=1S/C7H16NOS/c1-7(9)10-6-5-8(2,3)4/h5-6H2,1-4H3/q+1	GFFIJCYHQYHUHB-UHFFFAOYSA-N	
el^XBHDCgHji`@bKcirQQQQIIJIHpi[IIQIXbcPJqKhXFFi@H@X`HBjjj`I@zPp@	2r6w	487.618	2.1799	-7.027	5	2	383.11	102.27	none	none	none	35	0	7	C[C@H]1CC[N@H+](CCOc(cc2)ccc2C(c2c(-c(cc3)ccc3O)sc3c2ccc([O-])c3)=O)CC1	InChI=1S/C29H29NO4S/c1-19-12-14-30(15-13-19)16-17-34-24-9-4-20(5-10-24)28(33)27-25-11-8-23(32)18-26(25)35-29(27)21-2-6-22(31)7-3-21/h2-11,18-19,31-32H,12-17H2,1H3	RLOZWABDAGQFIY-UHFFFAOYSA-N	
elTRJD@FEDijNGNg`IABPrJSQSZYJJZEQRqJJURjZjjZjjZjfjHHPd|`t@@	1apw	506.632	1.7248	-3.735	9	5	397.66	136.63	none	none	none	35	4	14	CC(C)C[C@@H]([C@H](C(C(NC)=O)(F)F)O)NC([C@H](C(C)C)NC([C@H](C(C)C)NC(CC(C)C)=O)=O)=O	InChI=1S/C24H44F2N4O5/c1-12(2)10-16(20(32)24(25,26)23(35)27-9)28-21(33)19(15(7)8)30-22(34)18(14(5)6)29-17(31)11-13(3)4/h12-16,18-20,32H,10-11H2,1-9H3,(H,27,35)(H,28,33)(H,29,31)(H,30,34)/t16-,18-,19-,20+/m0/s1	IGGJFTNHYZUFNB-FRYIKTPZSA-N	
dmvBBA@fTYrJJJZWajjjhhbKIR@	2j77	164.180	-2.6749	0.201	5	5	110.66	97.53	none	none	none	11	4	1	OC[C@H]([C@H]([C@@H]1O)O)[NH2+]C[C@@H]1O	InChI=1S/C6H13NO4/c8-2-3-5(10)6(11)4(9)1-7-3/h3-11H,1-2H2/p+1/t3-,4+,5-,6-/m1/s1	LXBIFEVIBLOUGU-JGWLITMVSA-O	
fnca`DA@QqGIMjvrnkJv]UkUSP@S@@@H^`	1fl3	308.356	1.5812	-4.379	4	1	255.29	69.23	high	high	high	23	0	7	[O-]C(CCCC(Nc1ccc(/C=C/c2ccccc2)cc1)=O)=O	InChI=1S/C19H19NO3/c21-18(7-4-8-19(22)23)20-17-13-11-16(12-14-17)10-9-15-5-2-1-3-6-15/h1-3,5-6,9-14H,4,7-8H2,(H,20,21)(H,22,23)/p-1	FTXJWRRYLLRFMG-UHFFFAOYSA-M	
fbuqrBCAsAFB\UxGacb]ddfJbTQbbvejJVjjjjYZlL`iI@@	1nja	305.182	-7.9805	0.45	10	2	202.74	170.38	none	none	none	20	3	4	NC(C=CN1[C@@H](C2)O[C@H](COP([O-])([O-])=O)[C@H]2O)=NC1=O	InChI=1S/C9H14N3O7P/c10-7-1-2-12(9(14)11-7)8-3-5(13)6(19-8)4-18-20(15,16)17/h1-2,5-6,8,13H,3-4H2,(H2,10,11,14)(H2,15,16,17)/p-2/t5-,6+,8-/m0/s1	NCMVOABPESMRCP-BBVRLYRLSA-L	
ej]^@@H@@baigl\YrQQQQJEIZKJYJJHeQIYcbPsqKHhX{ZyGD@`@BBQjfijjhBjPZUt@@	3d94	490.633	1.9265	-6.017	7	2	384.89	76.78	none	high	none	37	0	4	C[NH+](CC1)CCN1[C@H](C1)C[C@H]1c1nc(-c2ccc(ccc(-c3ccccc3)n3)c3c2)c2n1ccnc2N	InChI=1S/C30H31N7/c1-35-13-15-36(16-14-35)24-17-23(18-24)30-34-27(28-29(31)32-11-12-37(28)30)22-8-7-21-9-10-25(33-26(21)19-22)20-5-3-2-4-6-20/h2-12,19,23-24H,13-18H2,1H3,(H2,31,32)/p+1	PDJARQSWGDDFHH-UHFFFAOYSA-O	
e`T^F@DDJNAEKF`Jemgomn~{HheEDcBeDeeLhhbhqpihedu@pEP@SUMSPP]H@	2d0k	439.387	-5.798	-2.837	13	4	322.75	214.65	none	none	none	32	1	9	NC(N1)=Nc2ncc(CNc(cc3)ccc3C(N[C@@H](CCC([O-])=O)C([O-])=O)=O)nc2C1=O	InChI=1S/C19H19N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,8,12,21H,5-7H2,(H,24,29)(H,27,28)(H,31,32)(H3,20,22,25,26,30)/p-2/t12-/m0/s1	OVBPIULPVIDEAO-LBPRGKRZSA-L	
eghXL@HG@D@dNR[e[WY[VvfnAMCBjamf`@@Ih@Jjj@`HKD	1fd0	400.496	4.0733	-8.116	4	1	306.1	72.72	none	none	none	30	0	3	CC(C)(CCC1(C)C)c(cc2)c1cc2/C(/c1ccc(cc(cc2)C([O-])=O)c2c1)=N/O	InChI=1S/C26H27NO3/c1-25(2)11-12-26(3,4)22-15-19(9-10-21(22)25)23(27-30)18-7-5-17-14-20(24(28)29)8-6-16(17)13-18/h5-10,13-15,30H,11-12H2,1-4H3,(H,28,29)/p-1	RNZIUDLOJHVHLZ-UHFFFAOYSA-M	
ehqtE@HDA`EGOK`RUS_QirJJJJHqZHyRJIJQQ[QJIIFEEZabpH[ZY[YzFdVWVujjA`XjjjjjjjjjjjJjoLDeLdtndMEelch|hYSAUKKT@@	2byr	683.816	-0.7179	-4.25	12	3	479.63	145.5	none	none	none	49	15	10	CC[N@@H+](C[C@](COC(c(cccc1)c1N(C(C[C@@H]1C)=O)C1=O)=O)(CC1)[C@@H]([C@@H]2OC)[C@]3([C@H](C[C@@H]([C@@H]4OC)[C@H](C5)OC)[C@H]4[C@@]54O)[C@H]1OC)[C@@H]3[C@]24O	InChI=1S/C37H50N2O10/c1-7-38-17-34(18-49-32(42)20-10-8-9-11-23(20)39-26(40)14-19(2)31(39)41)13-12-25(46-4)36-22-15-21-24(45-3)16-35(43,27(22)28(21)47-5)37(44,33(36)38)30(48-6)29(34)36/h8-11,19,21-22,24-25,27-30,33,43-44H,7,12-18H2,1-6H3/p+1/t19-,21-,22+,24+,25+,27-,28+,29+,30-,33-,34-,35+,36-,37+/m0/s1	XLTANAWLDBYGFU-GHBVTPKVSA-O	
deULBFDBdYRYf}ajjjlbHlP@	2j7h	149.169	-2.6841	-0.165	5	5	103.27	89.33	none	none	none	10	3	1	OC[C@H]([C@H]1O)N[NH2+]C[C@H]1O	InChI=1S/C5H12N2O3/c8-2-3-5(10)4(9)1-6-7-3/h3-10H,1-2H2/p+1/t3-,4-,5-/m1/s1	PPPMSBCQTLJPKM-UOWFLXDJSA-O	
fluIPDNFmDDeZRgldTTTRRTZRIPs`qjjZj@BhIBHaIQ@@	1pr1	267.220	-3.9925	-0.376	9	4	180.55	147.44	none	none	none	19	4	2	[O-]c1c2[nH]nc([C@@H]([C@@H]3O)O[C@H](CO)[C@H]3O)c2ncn1	InChI=1S/C10H12N4O5/c15-1-3-7(16)8(17)9(19-3)5-4-6(14-13-5)10(18)12-2-11-4/h2-3,7-9,15-17H,1H2,(H,13,14)(H,11,12,18)/p-1/t3-,7+,8+,9+/m1/s1	MTCJZZBQNCXKAP-HOPXMADZSA-M	
